symbol,breakout_ts,level,tp1,tp2,sl,expires_at,tier,confluence,touches,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,published,skip_reason,filled,fill_ts,tp1_hit_ts,tp2_hit_ts,sl_hit_ts,tp1_hold_hours,tp2_hold_hours,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
AAVE,2026-04-16 12:00:00+00:00,106.0,112.0,122.0,98.0,2026-04-19 12:00:00+00:00,Major,1.0,9,0.60842433697348,69.55113373438222,72.55327114346247,0.75,False,per_token_cap,True,2026-04-18 16:00:00+00:00,,,2026-04-19 00:00:00+00:00,,,2026-04-19 00:00:00+00:00,98.0,SL,-7.607169811320754,8
UNI,2026-04-16 12:00:00+00:00,3.2,3.6,3.8,3.1,2026-04-19 12:00:00+00:00,Major,1.0,1,1.1184573002754816,63.17596566523605,72.55327114346247,3.9999999999999956,False,quality,False,,,,,,,,0.0,,0.0,0
XRP,2026-04-16 16:00:00+00:00,1.4,1.5,1.6,1.3,2026-04-19 16:00:00+00:00,Major,1.0,2,1.301903114186851,73.46871929249915,74.25890550760172,1.0000000000000022,False,quality,False,,,,,,,,0.0,,0.0,0
SOL,2026-04-16 16:00:00+00:00,85.0,91.0,96.0,81.5,2026-04-19 16:00:00+00:00,Major,2.0,40,1.2881111311564115,67.71016531832568,74.25890550760172,1.7142857142857142,True,,True,2026-04-19 04:00:00+00:00,,,2026-04-29 16:00:00+00:00,,,2026-04-29 16:00:00+00:00,81.5,SL,-4.177647058823529,252
ADA,2026-04-16 16:00:00+00:00,0.246,0.264,0.274,0.235,2026-04-19 16:00:00+00:00,Major,3.0,12,1.0844540075309321,57.74647887323945,74.25890550760172,1.6363636363636365,False,per_token_cap,True,2026-04-19 04:00:00+00:00,2026-05-05 20:00:00+00:00,2026-05-08 20:00:00+00:00,,400.0,472.0,2026-05-08 20:00:00+00:00,0.274,TP2,11.322113821138222,472
SUI,2026-04-16 16:00:00+00:00,0.973,1.073,1.119,0.936,2026-04-19 16:00:00+00:00,Major,2.0,11,0.5896370185647012,68.17434210526316,74.25890550760172,2.702702702702708,True,,True,2026-04-18 08:00:00+00:00,,,2026-04-19 16:00:00+00:00,,,2026-04-19 16:00:00+00:00,0.936,SL,-3.8626721479958808,32
AAVE,2026-04-16 16:00:00+00:00,106.0,112.0,122.0,98.0,2026-04-19 16:00:00+00:00,Major,1.0,9,1.6505460218408738,73.62725450901803,74.25890550760172,0.75,False,per_token_cap,True,2026-04-18 16:00:00+00:00,,,2026-04-19 00:00:00+00:00,,,2026-04-19 00:00:00+00:00,98.0,SL,-7.607169811320754,8
DOGE,2026-04-16 16:00:00+00:00,0.096,0.102,0.106,0.092,2026-04-19 16:00:00+00:00,Major,3.0,14,0.9353330736268027,70.21081576535289,74.25890550760172,1.4999999999999964,True,,True,2026-04-18 08:00:00+00:00,2026-04-29 04:00:00+00:00,2026-04-29 08:00:00+00:00,,260.0,264.0,2026-04-29 08:00:00+00:00,0.106,TP2,10.35666666666666,264
BNB,2026-04-16 16:00:00+00:00,623.0,648.0,680.0,606.0,2026-04-19 16:00:00+00:00,Major,2.0,26,0.7239905350736561,67.19516798791994,74.25890550760172,1.4705882352941178,True,,True,2026-04-19 00:00:00+00:00,2026-04-22 12:00:00+00:00,2026-05-13 00:00:00+00:00,,84.0,576.0,2026-05-13 00:00:00+00:00,680.0,TP2,9.08927768860353,576
HBAR,2026-04-16 16:00:00+00:00,0.088,0.091,0.095,0.084,2026-04-19 16:00:00+00:00,Major,3.0,10,0.8056948064968947,57.44315744315744,74.25890550760172,0.7500000000000026,True,,True,2026-04-18 08:00:00+00:00,2026-04-21 08:00:00+00:00,2026-05-09 00:00:00+00:00,,72.0,496.0,2026-05-09 00:00:00+00:00,0.095,TP2,7.894545454545463,496
DOT,2026-04-16 16:00:00+00:00,1.3,1.4,1.5,1.2292857142857143,2026-04-19 16:00:00+00:00,Major,3.0,10,0.7070707070707078,61.28364389233955,74.25890550760172,1.414141414141412,True,,True,2026-04-17 00:00:00+00:00,,,2026-04-23 16:00:00+00:00,,,2026-04-23 16:00:00+00:00,1.2292857142857143,SL,-5.49956043956044,160
UNI,2026-04-16 16:00:00+00:00,3.2,3.6,3.8,3.1,2026-04-19 16:00:00+00:00,Major,1.0,1,1.4380165289256186,64.92232215862632,74.25890550760172,3.9999999999999956,False,quality,False,,,,,,,,0.0,,0.0,0
XRP,2026-04-16 20:00:00+00:00,1.4,1.5,1.6,1.3,2026-04-19 20:00:00+00:00,Major,1.0,2,1.0697808535178805,72.43022464261401,73.89054673547459,1.0000000000000022,False,quality,True,2026-04-19 20:00:00+00:00,2026-05-10 16:00:00+00:00,,,500.0,,2026-05-13 12:00:00+00:00,1.4307,TIMEOUT,2.1328571428571554,568
