symbol,breakout_ts,level,tp,sl,tp_source,expires_at,confluence,touches,tier,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,passed_quality,passed_momentum,published,skip_reason,filled,fill_ts,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
DOGE,2025-07-02 20:00:00+00:00,0.16,0.186,0.151,tp2,2025-07-05 20:00:00+00:00,3.0,15,Major,0.94654944370964,66.69224865694551,78.11442241529913,2.8888888888888857,True,True,False,per_token_cap,False,,,0.0,,0.0,0
BNB,2025-07-02 20:00:00+00:00,648.0,687.0,638.0,tp2,2025-07-05 20:00:00+00:00,3.0,21,Major,0.8291104030749027,80.24249104436484,78.11442241529913,3.9,True,True,False,per_token_cap,False,,,0.0,,0.0,0
DOT,2025-07-02 20:00:00+00:00,3.4,3.8,3.2,tp2,2025-07-05 20:00:00+00:00,2.0,4,Major,0.7239657631954354,66.44295302013423,78.11442241529913,2.000000000000002,True,True,False,per_token_cap,True,2025-07-04 12:00:00+00:00,2025-07-10 20:00:00+00:00,3.8,TP,11.704705882352938,152
NEAR,2025-07-02 20:00:00+00:00,2.0,2.5,1.8,tp2,2025-07-05 20:00:00+00:00,2.0,6,Major,1.4298978644382558,65.48076923076924,78.11442241529913,2.5000000000000004,True,True,False,per_token_cap,False,,,0.0,,0.0,0
UNI,2025-07-02 20:00:00+00:00,6.6,8.3,5.9,tp2,2025-07-05 20:00:00+00:00,2.0,16,Major,1.2511350059737159,66.99968779269435,78.11442241529913,2.4285714285714324,True,True,False,per_token_cap,False,,,0.0,,0.0,0
NEAR,2025-07-03 04:00:00+00:00,2.2,2.5,2.1,tp1,2025-07-06 04:00:00+00:00,2.0,17,Major,0.8318661971830973,61.39784946236558,69.56465692053997,2.9999999999999956,True,True,False,per_token_cap,True,2025-07-04 04:00:00+00:00,2025-07-04 16:00:00+00:00,2.1,SL,-4.605454545454549,12
NEAR,2025-07-03 08:00:00+00:00,2.2,2.5,2.1,tp1,2025-07-06 08:00:00+00:00,2.0,17,Major,0.57306338028169,59.572072072072075,70.49841020849917,2.9999999999999956,True,True,False,per_token_cap,True,2025-07-04 04:00:00+00:00,2025-07-04 16:00:00+00:00,2.1,SL,-4.605454545454549,12
LINK,2025-07-08 20:00:00+00:00,13.5,15.5,13.0,tp1,2025-07-11 20:00:00+00:00,2.0,9,Major,0.7116022099447528,58.71559633027523,56.74171790077652,4.0,True,True,True,,False,,,0.0,,0.0,0
XRP,2025-07-09 08:00:00+00:00,2.3,2.5,2.2,tp1,2025-07-12 08:00:00+00:00,3.0,15,Major,0.9242608343458903,72.94610151753005,53.14903284900956,2.000000000000009,True,True,True,,False,,,0.0,,0.0,0
HBAR,2025-07-09 08:00:00+00:00,0.162,0.19,0.154,tp2,2025-07-12 08:00:00+00:00,2.0,2,Major,0.8663960306720799,67.6342208642514,53.14903284900956,3.4999999999999964,False,True,False,quality,False,,,0.0,,0.0,0
