breakout_atr_mult,min_confluence,min_touches,min_token_rsi,retest_ttl_hours,max_hold_days,major_only,tp_cascade,min_rr,cascade_skipped,n_published,n_filled,fill_rate_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_pnl_filled_pct,expectancy_per_signal_pct,score,n_tp,n_sl,n_timeout
2.0,50.0,3,55.0,72,14,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,55.0,72,21,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
2.0,50.0,3,55.0,72,30,True,False,2.0,0,13,2,15.38,50.0,5.964,-4.605,0.679,0.105,0.148,1,1,0
1.0,50.0,3,0.0,168,21,True,False,2.0,0,88,42,47.73,45.24,6.597,-5.087,0.199,0.095,0.614,19,21,0
1.0,50.0,3,0.0,168,30,True,False,2.0,0,88,42,47.73,45.24,6.597,-5.087,0.199,0.095,0.614,19,21,0
1.0,0.0,0,55.0,168,21,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.256,0.192,0.091,0.735,28,34,1
1.0,0.0,3,55.0,168,21,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.256,0.192,0.091,0.735,28,34,1
1.0,50.0,0,55.0,168,21,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.256,0.192,0.091,0.735,28,34,1
2.0,50.0,3,0.0,72,7,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,0.0,72,14,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,0.0,72,21,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,0.0,72,30,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,55.0,72,7,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,55.0,72,14,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,55.0,72,21,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
2.0,50.0,3,55.0,72,30,False,False,2.0,0,15,2,13.33,50.0,5.964,-4.605,0.679,0.091,0.128,1,1,0
1.0,0.0,0,0.0,168,14,True,False,2.0,0,116,56,48.28,44.64,6.17,-4.696,0.155,0.075,0.559,22,27,4
1.0,0.0,3,0.0,168,14,True,False,2.0,0,116,56,48.28,44.64,6.17,-4.696,0.155,0.075,0.559,22,27,4
1.0,50.0,0,0.0,168,14,True,False,2.0,0,116,56,48.28,44.64,6.17,-4.696,0.155,0.075,0.559,22,27,4
1.0,50.0,3,0.0,168,7,True,False,2.0,0,88,42,47.73,47.62,5.703,-4.908,0.145,0.069,0.449,16,17,7
1.5,0.0,0,55.0,168,7,False,False,2.0,0,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
1.5,0.0,3,55.0,168,7,False,False,2.0,0,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
1.5,50.0,0,55.0,168,7,False,False,2.0,0,60,21,35.0,38.1,7.305,-4.176,0.198,0.069,0.317,8,9,3
1.0,0.0,0,55.0,168,30,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.351,0.138,0.065,0.528,28,35,0
1.0,0.0,3,55.0,168,30,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.351,0.138,0.065,0.528,28,35,0
1.0,50.0,0,55.0,168,30,False,False,2.0,0,137,65,47.45,43.08,7.391,-5.351,0.138,0.065,0.528,28,35,0
2.0,0.0,0,0.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,0,0.0,72,21,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,0,0.0,72,30,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,0,55.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,0,55.0,72,21,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,0,55.0,72,30,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,0.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,0.0,72,21,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,0.0,72,30,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,55.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,55.0,72,21,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,0.0,3,55.0,72,30,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,50.0,0,0.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,50.0,0,0.0,72,21,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,50.0,0,0.0,72,30,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
2.0,50.0,0,55.0,72,14,True,False,2.0,0,19,2,10.53,50.0,5.964,-4.822,0.571,0.06,0.085,1,1,0
